APSO,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,1.26E-06,4.67E-05,4.80E+02,5.19E+00,8.37E+01,3.60E-01,4.33E-02,-9.90E+03,1.97E+01,1.21E-01,1.41E-02,2.70E-02,6.62E-03,1.02E+00,2.83E-03,-1.03E+00,3.98E-01,3.00E+00,-3.86E+00,-3.28E+00,-4.99E+00,-4.53E+00,-4.70E+00
time,8.35E-01,9.19E-01,3.48E+00,8.40E-01,9.75E-01,9.39E-01,9.77E-01,8.96E-01,9.32E-01,1.10E+00,1.09E+00,1.67E+00,1.44E+00,1.11E+00,1.06E+00,9.03E-01,8.47E-01,1.16E+00,1.49E+00,1.54E+00,1.26E+00,1.40E+00,1.59E+00
worst,8.16E-06,2.74E-04,1.74E+03,8.19E+00,5.77E+02,4.00E+00,7.30E-02,-7.95E+03,3.09E+01,1.50E+00,6.10E-02,3.11E-01,9.89E-02,1.99E+00,2.04E-02,-1.03E+00,3.98E-01,3.00E+00,-3.86E+00,-3.20E+00,-2.63E+00,-1.84E+00,-1.86E+00
best,1.60E-08,1.50E-06,1.36E+02,1.64E+00,1.22E+01,0.00E+00,1.51E-02,-1.12E+04,1.10E+01,1.11E-04,7.42E-09,1.16E-09,2.14E-07,9.98E-01,3.07E-04,-1.03E+00,3.98E-01,3.00E+00,-3.86E+00,-3.32E+00,-1.02E+01,-1.04E+01,-1.05E+01
std,1.97E-06,4.81E-05,3.03E+02,1.33E+00,9.71E+01,7.42E-01,1.49E-02,6.11E+02,4.27E+00,3.37E-01,1.85E-02,5.79E-02,1.42E-02,1.39E-01,6.48E-03,2.47E-16,3.33E-16,1.26E-15,3.08E-15,5.71E-02,2.66E+00,2.89E+00,3.19E+00
